Year,Model,Count
1950,Neural Network,10
1951,Neural Network,18
1952,Neural Network,11
1953,Neural Network,23
1954,Neural Network,15
1955,Neural Network,22
1956,Neural Network,25
1957,Neural Network,27
1958,Neural Network,29
1959,Neural Network,31
1960,Neural Network,45
1961,Neural Network,55
1962,Neural Network,68
1963,Neural Network,80
1964,Neural Network,66
1965,Neural Network,91
1966,Neural Network,120
1967,Neural Network,117
1968,Neural Network,114
1969,Neural Network,136
1970,Neural Network,328
1971,Neural Network,181
1972,Neural Network,208
1973,Neural Network,173
1974,Neural Network,223
1975,Neural Network,216
1976,Neural Network,244
1977,Neural Network,270
1978,Neural Network,384
1979,Neural Network,368
1980,Neural Network,345
1981,Neural Network,431
1982,Neural Network,466
1983,Neural Network,570
1984,Neural Network,542
1985,Neural Network,782
1986,Neural Network,1130
1987,Neural Network,1590
1988,Neural Network,3130
1989,Neural Network,4390
1990,Neural Network,8070
1991,Neural Network,10900
1992,Neural Network,13700
1993,Neural Network,16800
1994,Neural Network,20300
1995,Neural Network,21700
1996,Neural Network,24800
1997,Neural Network,27900
1998,Neural Network,35900
1999,Neural Network,39200
2000,Neural Network,40800
2001,Neural Network,47000
2002,Neural Network,54300
2003,Neural Network,64000
2004,Neural Network,75000
2005,Neural Network,84300
2006,Neural Network,95600
2007,Neural Network,99500
2008,Neural Network,108000
2009,Neural Network,122000
2010,Neural Network,130000
2011,Neural Network,133000
2012,Neural Network,137000
2013,Neural Network,146000
2014,Neural Network,155000
2015,Neural Network,129000
2016,Neural Network,149000
2017,Neural Network,115000
2018,Neural Network,58200
1950,Support Vector Machine,3
1951,Support Vector Machine,0
1952,Support Vector Machine,0
1953,Support Vector Machine,0
1954,Support Vector Machine,0
1955,Support Vector Machine,2
1956,Support Vector Machine,0
1957,Support Vector Machine,0
1958,Support Vector Machine,0
1959,Support Vector Machine,0
1960,Support Vector Machine,0
1961,Support Vector Machine,0
1962,Support Vector Machine,0
1963,Support Vector Machine,3
1964,Support Vector Machine,2
1965,Support Vector Machine,0
1966,Support Vector Machine,4
1967,Support Vector Machine,2
1968,Support Vector Machine,5
1969,Support Vector Machine,0
1970,Support Vector Machine,12
1971,Support Vector Machine,0
1972,Support Vector Machine,5
1973,Support Vector Machine,5
1974,Support Vector Machine,2
1975,Support Vector Machine,3
1976,Support Vector Machine,5
1977,Support Vector Machine,7
1978,Support Vector Machine,6
1979,Support Vector Machine,9
1980,Support Vector Machine,11
1981,Support Vector Machine,15
1982,Support Vector Machine,18
1983,Support Vector Machine,9
1984,Support Vector Machine,14
1985,Support Vector Machine,24
1986,Support Vector Machine,30
1987,Support Vector Machine,25
1988,Support Vector Machine,42
1989,Support Vector Machine,58
1990,Support Vector Machine,66
1991,Support Vector Machine,81
1992,Support Vector Machine,116
1993,Support Vector Machine,139
1994,Support Vector Machine,196
1995,Support Vector Machine,268
1996,Support Vector Machine,323
1997,Support Vector Machine,351
1998,Support Vector Machine,583
1999,Support Vector Machine,932
2000,Support Vector Machine,1140
2001,Support Vector Machine,1740
2002,Support Vector Machine,2870
2003,Support Vector Machine,4290
2004,Support Vector Machine,6470
2005,Support Vector Machine,8880
2006,Support Vector Machine,11600
2007,Support Vector Machine,14600
2008,Support Vector Machine,18300
2009,Support Vector Machine,21900
2010,Support Vector Machine,26200
2011,Support Vector Machine,29100
2012,Support Vector Machine,33300
2013,Support Vector Machine,35600
2014,Support Vector Machine,38000
2015,Support Vector Machine,38900
2016,Support Vector Machine,38000
2017,Support Vector Machine,38100
2018,Support Vector Machine,33500
1950,Random Forest,0
1951,Random Forest,0
1952,Random Forest,0
1953,Random Forest,0
1954,Random Forest,0
1955,Random Forest,0
1956,Random Forest,0
1957,Random Forest,0
1958,Random Forest,0
1959,Random Forest,0
1960,Random Forest,0
1961,Random Forest,2
1962,Random Forest,0
1963,Random Forest,0
1964,Random Forest,0
1965,Random Forest,0
1966,Random Forest,0
1967,Random Forest,2
1968,Random Forest,3
1969,Random Forest,3
1970,Random Forest,4
1971,Random Forest,2
1972,Random Forest,5
1973,Random Forest,7
1974,Random Forest,6
1975,Random Forest,2
1976,Random Forest,3
1977,Random Forest,3
1978,Random Forest,8
1979,Random Forest,6
1980,Random Forest,3
1981,Random Forest,5
1982,Random Forest,9
1983,Random Forest,7
1984,Random Forest,6
1985,Random Forest,8
1986,Random Forest,12
1987,Random Forest,14
1988,Random Forest,12
1989,Random Forest,12
1990,Random Forest,14
1991,Random Forest,9
1992,Random Forest,14
1993,Random Forest,16
1994,Random Forest,29
1995,Random Forest,27
1996,Random Forest,33
1997,Random Forest,36
1998,Random Forest,53
1999,Random Forest,63
2000,Random Forest,69
2001,Random Forest,85
2002,Random Forest,122
2003,Random Forest,199
